"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Mandera","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.51794871","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Mandera","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.67","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Mandera","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.85314739","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Marsabit","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.40280561","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Marsabit","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.34017595","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Marsabit","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.06990881","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Marsabit","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.00507614","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Meru","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.29059897","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Meru","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.31047525","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Meru","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.71053052","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Meru","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.9520486","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Migori","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.28756506","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Migori","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.35160599","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
