"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Vihiga","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.67529411","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Vihiga","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.67529411","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Vihiga","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.74845679","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Vihiga","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.61373134","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Wajir","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.52","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Wajir","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.45","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Wajir","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.35","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Wajir","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.33512544","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Wajir","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.85263157","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"West Pokot","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.13990825","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"West Pokot","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.36419753","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"West Pokot","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.30438729","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"West Pokot","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.88237410","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Isiolo","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
