"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Nandi","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","12.5777777","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nandi","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","12.5983436","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nandi","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","9.10492845","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nandi","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10.2655279","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Migori","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","0","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Mombasa","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","0","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Narok","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","11.4588059","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Narok","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","9.88028353","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Narok","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","9.28406593","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Narok","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","6.90478339","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyamira","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","11.5909090","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyamira","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10.8461538","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyamira","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10.8571428","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyamira","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10.2325581","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyamira","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","6.1","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyandarua","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","11.1064778","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyandarua","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","11.6430614","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyandarua","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10.2240622","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyandarua","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10.9398880","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyeri","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","7.64859163","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyeri","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","5.86832131","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyeri","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","5.73319570","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyeri","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","5.95701343","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyeri","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","5.72491173","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Samburu","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","6","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Samburu","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","8.125","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Samburu","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","8","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Samburu","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","9","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Taita Taveta","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","17","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Taita Taveta","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","16.0555555","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Taita Taveta","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","1.84281842","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Taita Taveta","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","0.83775372","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Tharaka-Nithi","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10.184375","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Tharaka-Nithi","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Tharaka-Nithi","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10.5","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Tharaka-Nithi","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","8.48333333","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Tharaka-Nithi","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","8.81967213","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Trans-Nzoia","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","7.48384755","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Trans-Nzoia","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","5.82089552","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Trans-Nzoia","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","5.65415244","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Trans-Nzoia","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","8.33636363","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Trans-Nzoia","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","8.0617737","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Siaya","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","0","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","8","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","7.56273647","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","7.82907282","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","7.41729871","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Vihiga","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","1.08333333","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Vihiga","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","0.4","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Turkana","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","0","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"West Pokot","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","14.7569444","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"West Pokot","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"West Pokot","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","17.6142232","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"West Pokot","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","19.7832917","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"West Pokot","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","12","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10.3110806","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kakamega","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","11.25","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kiambu","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","5.34442361","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kirinyaga","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","8.53627311","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kisii","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","6.33333333","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kisii","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","8.30434782","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kwale","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","0","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kwale","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","0","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Meru","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","9.60847829","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nakuru","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","7.99015625","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Narok","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","9.39","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyandarua","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10.81","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Samburu","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","7.31366459","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Taita Taveta","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","4.46112115","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","7.22041823","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Baringo","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10.4361851","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Baringo","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10.47","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Baringo","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10.92","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Baringo","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","13.44","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Baringo","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10.2851027","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bomet","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","9.88981636","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bomet","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10.1295292","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bomet","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10.3006239","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bomet","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","14.8939237","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bomet","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","9.5","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bungoma","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10.0001580","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bungoma","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10.14","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bungoma","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","13.2426978","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bungoma","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","12.4406528","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bungoma","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","12.6414305","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
