"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Kisumu","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.42531328","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kitui","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.70237587","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kitui","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.93","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kitui","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.33565429","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kitui","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.89832896","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kwale","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.26619003","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kwale","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.35","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kwale","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.50630391","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kwale","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.48393077","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kwale","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.51001682","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Lamu","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","1","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Lamu","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.84","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Lamu","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.37131782","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Lamu","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.85","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Machakos","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.42583774","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Machakos","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.53","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Machakos","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.46196097","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Machakos","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.52284110","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Machakos","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.46396210","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Laikipia","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Laikipia","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Laikipia","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Laikipia","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Makueni","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.65425388","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Makueni","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.73","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Makueni","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.60910656","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Makueni","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.35389825","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Mandera","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.47674418","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
