Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01234","Tomatoes","2022","2022","1000 Int$","293573","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01234","Tomatoes","2023","2023","1000 Int$","277338","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01234","Tomatoes","2022","2022","1000 SLC","22521315","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01234","Tomatoes","2023","2023","1000 SLC","25349818","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01234","Tomatoes","2022","2022","1000 SLC","38306986","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01234","Tomatoes","2023","2023","1000 SLC","36188484","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01234","Tomatoes","2022","2022","1000 USD","191076","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01234","Tomatoes","2023","2023","1000 USD","181269","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01234","Tomatoes","2022","2022","1000 USD","401447","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01234","Tomatoes","2023","2023","1000 USD","379246","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01221","Watermelons","2022","2022","1000 Int$","78304","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01221","Watermelons","2023","2023","1000 Int$","113616","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01221","Watermelons","2022","2022","1000 SLC","9420300","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01221","Watermelons","2023","2023","1000 SLC","6955699","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01221","Watermelons","2022","2022","1000 SLC","6631000","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01221","Watermelons","2023","2023","1000 SLC","9621336","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01221","Watermelons","2022","2022","1000 USD","79924","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01221","Watermelons","2023","2023","1000 USD","49738","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01221","Watermelons","2022","2022","1000 USD","68653","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01221","Watermelons","2023","2023","1000 USD","99614","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2022","2022","1000 Int$","87319","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2023","2023","1000 Int$","73297","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","0111","Wheat","2022","2022","1000 SLC","22015944","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","0111","Wheat","2023","2023","1000 SLC","15609848","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","0111","Wheat","2022","2022","1000 SLC","13242769","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","0111","Wheat","2023","2023","1000 SLC","11116288","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","0111","Wheat","2022","2022","1000 USD","186788","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","0111","Wheat","2023","2023","1000 USD","111621","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2022","2022","1000 USD","138464","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2023","2023","1000 USD","116230","E","Estimated value"
